utterance_id	batch	pattern	diphone_index	diphone
1	single	2	1	_-z
1	single	2	2	z-u
1	single	2	3	u-w
1	single	2	4	w-i
1	single	2	5	i-X
1	single	2	6	X-?
1	single	2	7	?-a
1	single	2	8	a-H
1	single	2	9	H-_
2	single	2	1	_-g
2	single	2	2	g-i
2	single	2	3	i-t
2	single	2	4	t-i
2	single	2	5	i-m
2	single	2	6	m-q
2	single	2	7	q-e.
2	single	2	8	e.-s.
2	single	2	9	s.-_
3	single	2	1	_-s.
3	single	2	2	s.-i.
3	single	2	3	i.-m
3	single	2	4	m-u
3	single	2	5	u-m
3	single	2	6	m-S
3	single	2	7	S-e
3	single	2	8	e-k
3	single	2	9	k-_
4	single	2	1	_-b
4	single	2	2	b-u
4	single	2	3	u-t
4	single	2	4	t-e
4	single	2	5	e-l
4	single	2	6	l-n
4	single	2	7	n-e
4	single	2	8	e-l
4	single	2	9	l-_
5	single	2	1	_-S
5	single	2	2	S-a
5	single	2	3	a-x
5	single	2	4	x-i
5	single	2	5	i-l
5	single	2	6	l-g
5	single	2	7	g-a
5	single	2	8	a-S
5	single	2	9	S-_
6	single	2	1	_-l
6	single	2	2	l-a
6	single	2	3	a-s
6	single	2	4	s-i
6	single	2	5	i-r
6	single	2	6	r-s
6	single	2	7	s-e.
6	single	2	8	e.-t.
6	single	2	9	t.-_
7	single	2	1	_-w
7	single	2	2	w-i.
7	single	2	3	i.-s.
7	single	2	4	s.-u.
7	single	2	5	u.-m
7	single	2	6	m-r
7	single	2	7	r-a
7	single	2	8	a-?
7	single	2	9	?-_
8	single	2	1	_-p
8	single	2	2	p-i.
8	single	2	3	i.-s.
8	single	2	4	s.-a.
8	single	2	5	a.-s.
8	single	2	6	s.-d
8	single	2	7	d-i
8	single	2	8	i-p
8	single	2	9	p-_
9	single	2	1	_-H
9	single	2	2	H-e
9	single	2	3	e-s
9	single	2	4	s-e
9	single	2	5	e-s
9	single	2	6	s-z
9	single	2	7	z-a
9	single	2	8	a-d
9	single	2	9	d-_
10	single	2	1	_-k
10	single	2	2	k-a
10	single	2	3	a-S
10	single	2	4	S-i.
10	single	2	5	i.-t.
10	single	2	6	t.-S
10	single	2	7	S-i
10	single	2	8	i-x
10	single	2	9	x-_
11	single	2	1	_-t
11	single	2	2	t-i
11	single	2	3	i-d
11	single	2	4	d-e
11	single	2	5	e-x
11	single	2	6	x-X
11	single	2	7	X-a
11	single	2	8	a-z
