utterance_id	batch	pattern	word_spaced	word_script	diphone_count	diphones
1	single	2	z u w i X ? a H	_z u w i X ? a H_	9	_-z z-u u-w w-i i-X X-? ?-a a-H H-_
2	single	2	g i t i m q e. s.	_g i t i m q e. s._	9	_-g g-i i-t t-i i-m m-q q-e. e.-s. s.-_
3	single	2	s. i. m u m S e k	_s. i. m u m S e k_	9	_-s. s.-i. i.-m m-u u-m m-S S-e e-k k-_
4	single	2	b u t e l n e l	_b u t e l n e l_	9	_-b b-u u-t t-e e-l l-n n-e e-l l-_
5	single	2	S a x i l g a S	_S a x i l g a S_	9	_-S S-a a-x x-i i-l l-g g-a a-S S-_
6	single	2	l a s i r s e. t.	_l a s i r s e. t._	9	_-l l-a a-s s-i i-r r-s s-e. e.-t. t.-_
7	single	2	w i. s. u. m r a ?	_w i. s. u. m r a ?_	9	_-w w-i. i.-s. s.-u. u.-m m-r r-a a-? ?-_
8	single	2	p i. s. a. s. d i p	_p i. s. a. s. d i p_	9	_-p p-i. i.-s. s.-a. a.-s. s.-d d-i i-p p-_
9	single	2	H e s e s z a d	_H e s e s z a d_	9	_-H H-e e-s s-e e-s s-z z-a a-d d-_
10	single	2	k a S i. t. S i x	_k a S i. t. S i x_	9	_-k k-a a-S S-i. i.-t. t.-S S-i i-x x-_
11	single	2	t i d e x X a z	_t i d e x X a z_	9	_-t t-i i-d d-e e-x x-X X-a a-z z-_
12	single	2	? i j u n g e X	_? i j u n g e X_	9	_-? ?-i i-j j-u u-n n-g g-e e-X X-_
13	single	2	s e ? u g k u j	_s e ? u g k u j_	9	_-s s-e e-? ?-u u-g g-k k-u u-j j-_
14	single	2	j i s a. s. q i. w	_j i s a. s. q i. w_	9	_-j j-i i-s s-a. a.-s. s.-q q-i. i.-w w-_
15	single	2	n u z i. q s u. s.	_n u z i. q s u. s._	9	_-n n-u u-z z-i. i.-q q-s s-u. u.-s. s.-_
16	single	2	t. i. t. u. k k i q	_t. i. t. u. k k i q_	9	_-t. t.-i. i.-t. t.-u. u.-k k-k k-i i-q q-_
17	single	2	r e l e p w a n	_r e l e p w a n_	9	_-r r-e e-l l-e e-p p-w w-a a-n n-_
18	single	2	z u. q u. t X u H	_z u. q u. t X u H_	9	_-z z-u. u.-q q-u. u.-t t-X X-u u-H H-_
19	single	2	w u. t. e. g s. i. z	_w u. t. e. g s. i. z_	9	_-w w-u. u.-t. t.-e. e.-g g-s. s.-i. i.-z z-_
20	single	2	X e ? u. s. S e g	_X e ? u. s. S e g_	9	_-X X-e e-? ?-u. u.-s. s.-S S-e e-g g-_
21	single	2	p i k u t w e m	_p i k u t w e m_	9	_-p p-i i-k k-u u-t t-w w-e e-m m-_
22	single	2	d u l u r b a. q	_d u l u r b a. q_	9	_-d d-u u-l l-u u-r r-b b-a. a.-q q-_
23	single	2	j e d a w X i w	_j e d a w X i w_	9	_-j j-e e-d d-a a-w w-X X-i i-w w-_
24	single	2	j i z e w p u S	_j i z e w p u S_	9	_-j j-i i-z z-e e-w w-p p-u u-S S-_
25	single	2	x a b a k g a ?	_x a b a k g a ?_	9	_-x x-a a-b b-a a-k k-g g-a a-? ?-_
26	single	2	x u w e S s u n	_x u w e S s u n_	9	_-x x-u u-w w-e e-S S-s s-u u-n n-_
27	single	2	g i. q u. x S u b	_g i. q u. x S u b_	9	_-g g-i. i.-q q-u. u.-x x-S S-u u-b b-_
28	single	2	p a r u ? g e r	_p a r u ? g e r_	9	_-p p-a a-r r-u u-? ?-g g-e e-r r-_
29	single	1	u s. s. a. d H i	_u s. s. a. d H i_	8	_-u u-s. s.-s. s.-a. a.-d d-H H-i i-_
30	single	2	m a t a s X u H	_m a t a s X u H_	9	_-m m-a a-t t-a a-s s-X X-u u-H H-_
31	single	2	n a g i ? ? i d	_n a g i ? ? i d_	9	_-n n-a a-g g-i i-? ?-? ?-i i-d d-_
32	single	2	t a z i b t u k	_t a z i b t u k_	9	_-t t-a a-z z-i i-b b-t t-u u-k k-_
33	single	1	e H p e t q u.	_e H p e t q u._	8	_-e e-H H-p p-e e-t t-q q-u. u.-_
34	single	2	H u. q a. n H e. q	_H u. q a. n H e. q_	9	_-H H-u. u.-q q-a. a.-n n-H H-e. e.-q q-_
35	single	2	k e X e t s a m	_k e X e t s a m_	9	_-k k-e e-X X-e e-t t-s s-a a-m m-_
36	single	2	m a b i n t. u. l	_m a b i n t. u. l_	9	_-m m-a a-b b-i i-n n-t. t.-u. u.-l l-_
37	single	2	b u x i g l a. t.	_b u x i g l a. t._	9	_-b b-u u-x x-i i-g g-l l-a. a.-t. t.-_
38	single	2	s i p u p S u p	_s i p u p S u p_	9	_-s s-i i-p p-u u-p p-S S-u u-p p-_
39	single	2	q a. r i j g a x	_q a. r i j g a x_	9	_-q q-a. a.-r r-i i-j j-g g-a a-x x-_
40	single	1	a n ? e n z e	_a n ? e n z e_	8	_-a a-n n-? ?-e e-n n-z z-e e-_
41	single	2	x a X a. q g u S	_x a X a. q g u S_	9	_-x x-a a-X X-a. a.-q q-g g-u u-S S-_
42	single	1	i b s. i. g j a	_i b s. i. g j a_	8	_-i i-b b-s. s.-i. i.-g g-j j-a a-_
43	single	2	s. u. p e d w u j	_s. u. p e d w u j_	9	_-s. s.-u. u.-p p-e e-d d-w w-u u-j j-_
44	single	2	r a d u z H u X	_r a d u z H u X_	9	_-r r-a a-d d-u u-z z-H H-u u-X X-_
45	single	1	u X j e z t. a.	_u X j e z t. a._	8	_-u u-X X-j j-e e-z z-t. t.-a. a.-_
46	single	2	t. a. j u x z u ?	_t. a. j u x z u ?_	9	_-t. t.-a. a.-j j-u u-x x-z z-u u-? ?-_
47	single	2	s. e. d a S H a r	_s. e. d a S H a r_	9	_-s. s.-e. e.-d d-a a-S S-H H-a a-r r-_
48	single	1	i s. m e k p u	_i s. m e k p u_	8	_-i i-s. s.-m m-e e-k k-p p-u u-_
49	single	1	e s. l i. t. H u	_e s. l i. t. H u_	8	_-e e-s. s.-l l-i. i.-t. t.-H H-u u-_
50	single	2	l i l u m H e s	_l i l u m H e s_	9	_-l l-i i-l l-u u-m m-H H-e e-s s-_
51	single	3	g a. a. t. e. i. t	_g a. a. t. e. i. t_	8	_-g g-a. a.-a. a.-t. t.-e. e.-i. i.-t t-_
52	single	2	S e x e k H e. t.	_S e x e k H e. t._	9	_-S S-e e-x x-e e-k k-H H-e. e.-t. t.-_
53	single	2	? e x u x m i s	_? e x u x m i s_	9	_-? ?-e e-x x-u u-x x-m m-i i-s s-_
54	single	1	e t. l u. t. b e	_e t. l u. t. b e_	8	_-e e-t. t.-l l-u. u.-t. t.-b b-e e-_
55	single	3	X a u t e e b	_X a u t e e b_	8	_-X X-a a-u u-t t-e e-e e-b b-_
56	single	2	s. a. X i S k i z	_s. a. X i S k i z_	9	_-s. s.-a. a.-X X-i i-S S-k k-i i-z z-_
57	single	3	n i u g u a g	_n i u g u a g_	8	_-n n-i i-u u-g g-u u-a a-g g-_
58	single	2	q e. z i H b u. q	_q e. z i H b u. q_	9	_-q q-e. e.-z z-i i-H H-b b-u. u.-q q-_
59	single	3	b u. e. q i. i. j	_b u. e. q i. i. j_	8	_-b b-u. u.-e. e.-q q-i. i.-i. i.-j j-_
60	single	1	u d b e. s. r a	_u d b e. s. r a_	8	_-u u-d d-b b-e. e.-s. s.-r r-a a-_
61	single	2	t. a. n e z m u l	_t. a. n e z m u l_	9	_-t. t.-a. a.-n n-e e-z z-m m-u u-l l-_
62	single	2	k u t. i. b x i k	_k u t. i. b x i k_	9	_-k k-u u-t. t.-i. i.-b b-x x-i i-k k-_
63	single	1	a q n e r t. i.	_a q n e r t. i._	8	_-a a-q q-n n-e e-r r-t. t.-i. i.-_
64	single	2	d e b u w S a w	_d e b u w S a w_	9	_-d d-e e-b b-u u-w w-S S-a a-w w-_
65	single	1	i l l u s l i	_i l l u s l i_	8	_-i i-l l-l l-u u-s s-l l-i i-_
66	single	2	s. e. x e w j i m	_s. e. x e w j i m_	9	_-s. s.-e. e.-x x-e e-w w-j j-i i-m m-_
67	single	1	e j d a t. s i	_e j d a t. s i_	8	_-e e-j j-d d-a a-t. t.-s s-i i-_
68	single	2	X e. q u. t n i x	_X e. q u. t n i x_	9	_-X X-e. e.-q q-u. u.-t t-n n-i i-x x-_
69	single	2	z a. t. e. n m e t	_z a. t. e. n m e t_	9	_-z z-a. a.-t. t.-e. e.-n n-m m-e e-t t-_
70	single	2	r a. s. i. H H a. s.	_r a. s. i. H H a. s._	9	_-r r-a. a.-s. s.-i. i.-H H-H H-a. a.-s. s.-_
71	single	2	z a b a p H a d	_z a b a p H a d_	9	_-z z-a a-b b-a a-p p-H H-a a-d d-_
72	single	2	s a H i X m i n	_s a H i X m i n_	9	_-s s-a a-H H-i i-X X-m m-i i-n n-_
73	single	2	t. e. S i S q a. t	_t. e. S i S q a. t_	9	_-t. t.-e. e.-S S-i i-S S-q q-a. a.-t t-_
74	single	3	l u. u. t. u. i. S	_l u. u. t. u. i. S_	8	_-l l-u. u.-u. u.-t. t.-u. u.-i. i.-S S-_
